aX,aY,aZ,gX,gY,gZ
0.068,-0.067,1.019,1.648,10.986,19.836
0.100,-0.074,1.146,0.549,9.644,22.522
0.114,-0.050,1.248,-0.061,10.681,26.123
0.106,0.001,1.295,-0.671,13.733,29.541
0.104,0.083,1.239,-2.014,18.311,32.715
0.086,0.178,1.149,-4.150,22.400,35.278
0.057,0.290,1.054,-7.629,24.414,35.950
0.053,0.412,0.950,-10.498,25.330,35.156
0.043,0.497,0.848,-10.559,24.719,31.921
0.046,0.529,0.792,-9.094,22.217,26.733
0.047,0.504,0.791,-7.446,18.127,20.691
0.056,0.456,0.831,-7.141,13.977,15.503
0.075,0.418,0.863,-7.507,10.864,11.353
0.093,0.396,0.890,-6.836,8.728,8.240
0.115,0.376,0.946,-5.066,6.897,5.249
0.136,0.340,1.002,-3.052,5.859,2.441
0.153,0.303,1.025,-1.404,6.470,0.000
0.158,0.275,1.013,-0.366,7.812,-1.343
0.164,0.233,0.993,0.366,8.606,-2.441
0.170,0.174,0.989,0.854,9.033,-3.113
0.178,0.124,0.994,0.061,9.216,-2.869
0.173,0.092,1.005,-0.610,9.216,-2.014
0.160,0.081,1.001,-2.441,9.705,-0.916
0.150,0.090,0.949,-4.517,10.925,0.854
0.143,0.116,0.883,-4.395,10.925,2.258
0.137,0.139,0.836,-1.709,10.071,3.174
0.127,0.159,0.825,0.793,7.935,3.357
0.119,0.161,0.844,2.258,5.615,3.174
0.132,0.145,0.879,2.197,3.296,2.747
0.144,0.106,0.901,0.977,2.014,2.808
0.152,0.078,0.912,0.854,1.282,3.418
0.149,0.070,0.929,2.441,0.610,4.700
0.147,0.058,0.947,4.333,0.122,5.920
0.140,0.040,0.981,5.981,-0.244,7.385
0.130,0.036,1.031,7.568,-0.671,9.277
0.128,0.058,1.071,7.080,-0.366,11.597
0.123,0.103,1.075,4.944,0.854,13.855
0.121,0.187,1.081,3.418,1.831,15.869
0.109,0.280,1.094,0.977,2.441,16.479
0.102,0.345,1.087,-2.502,3.357,15.503
0.096,0.355,1.072,-5.615,4.333,12.756
0.096,0.306,1.037,-5.859,5.371,9.277
0.085,0.260,0.975,-4.028,6.165,6.287
0.079,0.232,0.913,-0.488,5.920,4.578
0.078,0.210,0.889,1.587,4.150,3.479
0.089,0.191,0.900,3.113,1.892,2.625
0.096,0.169,0.945,4.517,-0.488,2.197
0.112,0.151,0.994,6.470,-1.953,1.953
0.125,0.137,1.037,7.874,-2.747,1.892
0.133,0.120,1.091,9.277,-2.625,2.563
0.140,0.107,1.140,9.399,-1.953,3.296
0.145,0.109,1.164,9.277,-0.122,4.517
0.138,0.127,1.166,8.789,2.075,5.981
0.136,0.152,1.139,7.263,4.517,7.141
0.124,0.174,1.087,5.554,6.714,7.690
0.115,0.192,1.053,4.333,7.446,7.996

0.005,-0.040,2.786,-120.117,-290.649,59.082
0.064,0.356,3.271,-183.594,-278.687,77.332
0.145,0.672,3.828,-218.811,-261.719,86.243
0.254,0.797,4.000,-210.449,-235.901,83.252
0.320,0.805,4.000,-183.044,-199.707,75.623
0.361,0.875,4.000,-152.100,-153.381,68.237
0.384,1.044,4.000,-109.802,-99.609,59.814
0.279,1.094,4.000,-42.603,-40.039,46.082
0.132,0.951,4.000,22.461,19.348,31.067
-0.063,0.787,4.000,65.613,80.627,22.461
-0.295,0.710,4.000,96.497,142.639,20.630
-0.688,0.690,4.000,114.502,198.669,24.231
-1.042,0.699,4.000,117.859,242.126,30.273
-1.318,0.750,4.000,116.516,273.804,36.926
-1.547,0.851,3.724,114.014,297.119,43.091
-1.736,0.992,3.402,105.408,314.514,48.340
-1.886,1.109,3.153,90.088,328.613,50.476
-2.004,1.179,2.887,74.951,342.163,48.828
-2.121,1.177,2.500,63.171,357.178,44.250
-2.247,1.117,2.050,53.711,370.239,38.269
-2.330,1.036,1.601,43.335,379.028,32.288
-2.350,0.927,1.104,40.894,384.583,25.879
-2.337,0.841,0.672,42.664,384.949,20.264
-2.250,0.790,0.350,48.523,379.395,15.137
-2.201,0.630,0.056,77.087,372.559,8.057
-2.006,0.667,-0.142,96.313,363.892,5.127
-1.876,0.740,-0.309,75.806,349.365,8.606
-1.729,0.732,-0.496,82.642,335.205,5.005
-1.557,0.738,-0.631,84.778,318.726,0.854
-1.412,0.723,-0.716,86.304,302.246,-3.296
-1.256,0.697,-0.811,86.853,285.645,-8.545
-1.103,0.620,-0.897,81.543,267.639,-12.878
-0.990,0.572,-0.914,63.599,249.023,-14.587
-0.888,0.588,-0.877,34.302,230.225,-14.221
-0.806,0.671,-0.808,5.920,212.036,-14.648
-0.758,0.746,-0.780,-15.320,196.472,-17.273
-0.723,0.889,-0.758,-36.560,183.411,-21.973
-0.781,1.098,-0.758,-46.631,173.340,-30.884
-0.795,1.146,-1.091,-23.560,170.166,-49.377
-0.815,1.146,-1.547,8.789,165.039,-71.045
-0.799,1.158,-1.917,27.466,146.790,-90.332
-0.761,1.206,-2.163,31.433,116.638,-107.483
-0.737,1.259,-2.242,21.790,78.064,-125.061
-0.758,1.225,-2.173,10.803,35.950,-145.508
-0.798,1.129,-1.990,-7.080,-4.089,-166.260
-0.869,0.955,-1.796,-28.687,-41.077,-186.157
-0.903,0.718,-1.626,-50.415,-76.294,-204.895
-0.955,0.410,-1.376,-69.824,-110.779,-221.802
-1.002,0.009,-1.119,-81.360,-141.907,-236.877
-0.968,-0.440,-0.791,-88.196,-170.654,-248.352
-0.913,-0.951,-0.292,-91.797,-197.510,-255.371
-0.773,-1.535,0.282,-95.276,-218.018,-256.592
-0.586,-2.326,0.968,-103.394,-230.347,-249.146
-0.312,-3.076,1.683,-123.840,-231.018,-225.708
0.078,-3.649,2.172,-144.958,-217.102,-185.669
0.360,-4.000,2.428,-155.029,-192.810,-135.803
0.593,-4.000,2.510,-144.165,-164.673,-83.252
0.760,-4.000,2.494,-128.113,-136.047,-26.733
0.850,-4.000,2.353,-103.210,-106.873,28.931
0.783,-4.000,2.003,-80.322,-77.637,86.487
0.599,-3.881,1.509,-59.998,-53.040,143.066
0.365,-3.225,1.046,-38.757,-37.903,195.007
0.141,-2.515,0.720,-9.644,-32.166,235.779
-0.054,-1.890,0.550,26.733,-34.180,264.038
-0.209,-1.388,0.524,58.716,-41.870,283.936
-0.354,-0.939,0.618,75.073,-53.284,298.401
-0.376,-0.484,0.762,72.144,-65.552,310.364
-0.358,-0.024,0.933,55.725,-74.890,320.068
-0.367,0.427,1.084,29.358,-80.078,325.928
-0.318,0.865,1.181,2.258,-80.444,327.393
-0.320,1.301,1.281,-17.273,-77.515,323.547
-0.317,1.739,1.321,-26.489,-71.045,312.195
-0.317,2.106,1.299,-17.517,-63.171,292.236
-0.214,2.497,1.345,2.625,-57.251,265.747
-0.151,2.825,1.482,23.254,-53.223,234.436
-0.095,3.087,1.606,34.607,-48.157,199.280
-0.062,3.313,1.654,25.208,-41.687,162.476
-0.045,3.497,1.609,5.249,-34.546,124.817
-0.033,3.626,1.528,-13.428,-28.625,84.961
-0.061,3.724,1.457,-24.963,-24.048,41.870
-0.103,3.770,1.406,-30.457,-20.996,-4.211
-0.199,3.832,1.443,-29.114,-18.860,-53.040
-0.332,3.907,1.514,-20.569,-15.808,-105.469
-0.577,3.909,1.523,-1.831,-9.399,-161.804
-0.898,3.832,1.379,18.555,-1.282,-220.825
-1.294,3.657,1.085,33.447,5.981,-280.151
-1.778,3.428,0.677,33.203,9.216,-337.463
-2.316,3.158,0.210,23.621,6.165,-391.907
-2.920,2.913,-0.148,7.690,-6.287,-444.641
-3.571,2.503,-0.465,-9.460,-26.306,-496.826
-4.000,1.758,-0.648,-38.757,-55.969,-546.448
-4.000,0.660,-0.440,-97.290,-100.098,-587.769
-4.000,-0.666,0.219,-175.476,-154.602,-612.244
-4.000,-2.130,1.306,-242.249,-209.290,-614.990
-3.941,-3.581,2.767,-291.321,-250.732,-589.417
-2.864,-4.000,4.000,-316.040,-265.320,-534.851
-1.668,-4.000,4.000,-288.574,-241.272,-465.210
-0.708,-4.000,4.000,-220.825,-184.875,-394.104
-0.149,-4.000,4.000,-145.325,-115.784,-328.674
0.045,-4.000,3.647,-85.510,-49.377,-267.761
0.008,-4.000,2.231,-43.640,-3.357,-209.412
-0.053,-3.617,1.047,-24.841,16.418,-154.175
-0.111,-3.145,0.340,-24.292,11.963,-106.140
-0.128,-2.693,0.125,-31.616,-7.935,-64.148
-0.136,-2.222,0.283,-34.607,-32.227,-29.358
-0.134,-1.754,0.643,-30.029,-52.612,-3.601
-0.067,-1.302,1.031,-21.179,-64.697,14.099
-0.006,-0.938,1.383,-8.118,-68.054,24.109
0.060,-0.660,1.635,5.249,-64.148,28.076
0.095,-0.503,1.756,17.761,-54.565,28.015
0.109,-0.390,1.819,22.949,-43.884,27.344
0.113,-0.264,1.837,17.700,-32.837,28.015
0.104,-0.143,1.820,7.751,-21.790,27.954
0.099,-0.051,1.777,-2.075,-10.864,26.428
0.071,-0.004,1.705,-9.644,-1.038,23.132
0.033,0.001,1.520,-15.442,8.850,18.738
-0.013,-0.007,1.313,-18.921,16.602,13.916
-0.024,-0.027,1.125,-17.639,20.325,9.338
-0.037,-0.087,0.994,-13.367,20.813,5.066

0.259,0.099,2.561,-80.139,-160.706,70.923
0.273,0.104,2.780,-81.787,-149.231,70.801
0.262,0.020,2.909,-87.524,-135.803,71.594
0.160,-0.010,2.974,-92.957,-120.178,75.134
0.108,0.076,2.984,-87.891,-103.333,79.346
0.065,0.139,3.071,-72.205,-87.280,82.703
-0.006,0.112,3.223,-53.894,-70.190,85.449
