aX,aY,aZ,gX,gY,gZ
-3.857,1.554,0.602,-135.132,-355.774,-419.922
-4.000,0.595,1.024,-154.785,-375.061,-464.355
-4.000,-0.479,1.721,-197.021,-394.531,-490.967
-4.000,-1.648,2.304,-248.047,-408.997,-494.690
-3.969,-2.694,2.978,-290.344,-417.358,-474.731
-3.343,-3.464,3.697,-319.702,-418.762,-430.420
-2.673,-3.985,4.000,-314.148,-405.457,-373.108
-1.840,-4.000,4.000,-290.161,-378.784,-308.838
-1.031,-4.000,4.000,-245.911,-340.027,-246.887
-0.376,-4.000,4.000,-187.439,-286.987,-193.420
0.045,-4.000,4.000,-135.071,-221.375,-146.606
0.231,-4.000,4.000,-102.722,-151.184,-99.060

-0.028,-3.162,2.978,-86.487,-44.312,1.526
-0.270,-2.507,2.005,-89.294,-19.714,43.518
-0.473,-1.816,1.350,-87.280,-13.184,75.500
-0.609,-1.142,0.992,-78.369,-18.738,95.154
-0.661,-0.555,0.835,-62.500,-30.151,102.905
-0.628,-0.086,0.884,-40.222,-43.518,99.548
-0.567,0.207,1.135,-16.785,-56.946,87.280
-0.465,0.342,1.500,-3.723,-66.589,70.740
-0.340,0.348,1.915,-5.615,-69.580,53.772
-0.221,0.276,2.283,-18.250,-64.453,38.879
-0.138,0.209,2.543,-34.485,-51.208,26.733
-0.084,0.151,2.556,-49.561,-31.311,16.479
-0.102,0.023,2.291,-60.669,-8.728,6.653
-0.181,-0.152,1.934,-67.444,9.644,-0.732
-0.243,-0.305,1.516,-70.984,23.193,-5.371
-0.298,-0.431,1.155,-70.190,30.212,-8.301
-0.346,-0.535,0.896,-65.002,30.701,-9.460
-0.362,-0.610,0.726,-56.519,27.039,-8.850
-0.361,-0.641,0.676,-47.485,20.020,-7.019
-0.356,-0.610,0.756,-38.696,11.963,-4.089
-0.312,-0.566,0.875,-31.311,5.859,-1.709
-0.266,-0.575,1.008,-25.574,2.502,-0.549
-0.239,-0.602,1.148,-19.653,2.014,1.038
-0.251,-0.574,1.217,-13.794,4.578,3.845
-0.267,-0.489,1.140,-10.559,9.644,6.836
-0.293,-0.407,1.003,-8.179,13.977,8.728
-0.324,-0.364,0.918,-4.639,14.954,8.789
-0.352,-0.341,0.868,-1.770,14.038,8.057
-0.379,-0.295,0.834,1.099,12.512,7.141
-0.394,-0.221,0.798,3.906,10.925,5.798
-0.392,-0.166,0.762,8.606,8.850,2.808
-0.387,-0.150,0.782,14.038,5.920,-0.977
-0.379,-0.159,0.870,15.564,2.625,-4.700
-0.365,-0.158,0.979,10.742,0.549,-8.057
-0.341,-0.179,1.048,3.174,0.671,-11.169
-0.339,-0.255,1.069,-2.991,2.502,-13.794
-0.337,-0.334,1.052,-6.409,5.005,-15.564
-0.337,-0.386,1.027,-7.446,7.263,-16.113
-0.339,-0.416,1.030,-9.338,8.606,-15.564
-0.350,-0.426,1.031,-15.137,9.888,-14.160
-0.347,-0.452,0.987,-20.813,11.475,-12.756
-0.357,-0.484,0.920,-19.531,13.123,-11.597
-0.364,-0.495,0.874,-13.794,13.489,-10.315
-0.358,-0.501,0.856,-7.751,12.695,-8.911
-0.349,-0.513,0.876,-3.906,11.230,-7.324
-0.337,-0.539,0.911,-2.930,10.132,-5.432
-0.344,-0.571,0.920,-1.160,10.254,-2.808
-0.348,-0.536,0.881,1.404,11.047,0.427
-0.346,-0.446,0.852,3.174,10.925,4.089
-0.342,-0.354,0.867,3.906,9.583,6.348
-0.340,-0.298,0.896,4.517,8.423,6.592
-0.345,-0.284,0.911,5.493,8.240,5.554
-0.345,-0.271,0.905,7.202,8.484,4.395
-0.344,-0.240,0.903,7.629,8.606,3.845
-0.334,-0.225,0.910,4.150,8.057,2.991
-0.327,-0.239,0.942,-3.052,6.958,1.953
-0.324,-0.269,0.967,-8.667,6.653,0.732
-0.331,-0.284,0.936,-10.315,7.629,-0.305
-0.331,-0.287,0.849,-8.606,8.911,-1.160
-0.336,-0.286,0.789,-4.028,8.545,-1.404
-0.337,-0.298,0.768,-0.916,6.653,-2.319
-0.338,-0.305,0.794,0.488,3.784,-3.235
-0.332,-0.322,0.846,1.221,1.343,-3.784
-0.320,-0.356,0.882,1.465,-0.183,-3.784
-0.314,-0.381,0.905,0.854,-0.916,-3.418
-0.305,-0.383,0.942,0.977,-1.404,-2.136
-0.302,-0.366,0.998,0.244,-1.770,-1.343
-0.306,-0.333,1.046,-1.038,-1.160,-1.038
-0.295,-0.318,1.057,-2.258,0.366,-0.977
-0.302,-0.346,1.015,-1.892,2.502,-1.282
-0.312,-0.362,0.959,-1.221,4.089,-1.282
-0.313,-0.348,0.934,-0.549,4.211,-0.977
-0.313,-0.322,0.957,-1.648,3.296,-0.183
-0.313,-0.288,0.983,-3.052,2.808,0.122
-0.305,-0.269,0.984,-3.235,3.296,-0.610
-0.307,-0.296,0.973,-1.465,4.272,-1.587
-0.317,-0.321,0.945,0.549,5.066,-2.502
-0.312,-0.320,0.919,2.258,5.127,-2.686
-0.305,-0.334,0.934,1.526,4.700,-2.991
-0.305,-0.377,0.958,-0.488,4.150,-2.930
-0.313,-0.423,0.968,-1.648,4.089,-2.380
-0.314,-0.437,0.969,-1.892,4.456,-1.221
-0.314,-0.399,0.945,-2.014,4.883,0.916
-0.307,-0.345,0.911,-2.441,5.066,3.052
-0.310,-0.319,0.908,-2.808,4.211,3.601
-0.311,-0.324,0.926,-1.831,3.357,3.357
-0.316,-0.341,0.948,-0.671,2.930,2.930
-0.313,-0.349,0.965,0.244,3.113,3.235
-0.319,-0.340,0.976,0.244,3.174,3.967
-0.313,-0.318,0.987,0.305,3.296,4.700
