aX,aY,aZ,gX,gY,gZ
-0.318,-2.096,1.414,-43.030,-201.416,-12.146
-0.293,-2.059,1.636,-36.560,-199.097,7.568
-0.261,-2.079,1.908,-25.574,-192.871,26.489
-0.241,-1.996,2.118,-12.695,-181.946,46.814
-0.223,-1.834,2.248,0.977,-168.579,67.322
-0.241,-1.651,2.329,12.024,-153.259,86.060
-0.261,-1.508,2.345,18.188,-137.756,102.905
-0.290,-1.479,2.400,19.592,-124.084,117.859
-0.309,-1.488,2.556,14.587,-111.389,133.850
-0.325,-1.395,2.713,5.188,-97.351,152.710
-0.344,-1.198,2.882,-1.709,-80.688,171.692
-0.381,-0.959,3.046,-6.714,-62.378,188.599
-0.439,-0.724,3.121,-9.521,-40.894,202.148
-0.496,-0.479,3.061,-7.446,-18.188,212.402
-0.538,-0.212,2.984,0.732,2.502,219.421
-0.540,0.054,3.054,10.864,19.531,223.816
-0.556,0.369,3.396,17.029,34.363,226.562
-0.551,0.747,3.665,8.362,53.894,228.333
-0.595,1.139,3.745,-5.981,80.261,225.647
-0.630,1.520,3.627,-14.709,108.276,216.492
-0.680,1.825,3.340,-14.099,135.193,200.562
-0.687,2.060,3.006,-9.094,157.654,179.016
-0.687,2.174,2.653,-4.761,174.500,154.114
-0.648,2.113,2.271,-5.310,186.279,127.808
-0.587,1.864,2.022,-13.916,191.528,102.356
-0.534,1.510,1.970,-27.527,192.078,79.895
-0.526,1.233,1.938,-40.161,193.542,63.110
-0.480,1.094,1.755,-45.410,197.449,49.927
-0.443,1.040,1.656,-38.513,200.195,38.025
-0.413,0.948,1.675,-25.146,201.599,25.208
-0.378,0.804,1.687,-12.390,205.139,13.000
-0.376,0.660,1.662,-1.648,211.243,2.869
-0.372,0.534,1.562,7.385,218.689,-3.601
-0.401,0.405,1.409,15.625,226.318,-9.155
-0.448,0.236,1.151,23.376,233.887,-13.794
-0.474,0.102,0.839,30.029,239.380,-16.357
-0.505,-0.007,0.563,39.490,240.051,-17.395
-0.503,-0.010,0.294,46.875,237.366,-16.724
-0.497,0.023,-0.000,52.002,232.300,-15.930
-0.466,0.003,-0.327,57.007,224.670,-17.273
-0.427,-0.064,-0.620,63.538,212.585,-19.653
-0.388,-0.115,-0.838,68.481,196.228,-20.874
-0.357,-0.137,-0.968,68.054,176.514,-20.020
-0.329,-0.131,-1.106,55.481,156.250,-17.334
-0.317,-0.124,-1.295,32.227,135.742,-12.939
-0.315,-0.072,-1.439,8.911,112.366,-9.033
-0.314,0.055,-1.523,-6.104,86.670,-6.836
-0.320,0.202,-1.657,-13.306,61.401,-7.751
-0.345,0.321,-1.773,-13.916,35.645,-12.573
-0.361,0.446,-1.782,-10.986,7.141,-20.752
-0.398,0.466,-1.833,-6.775,-20.203,-31.372
-0.455,0.404,-1.917,-1.648,-47.119,-43.823
-0.530,0.283,-2.053,3.540,-75.806,-56.396
-0.647,0.107,-2.173,6.042,-106.750,-67.810
-0.771,-0.143,-2.276,1.831,-139.587,-75.562
-0.933,-0.378,-2.215,-13.184,-178.040,-76.904
-1.093,-0.571,-2.157,-36.377,-216.797,-71.472
-1.261,-0.675,-1.982,-62.805,-255.066,-60.242
-1.431,-0.567,-1.690,-87.891,-292.419,-44.617
-1.559,-0.316,-1.391,-107.849,-325.745,-28.259
-1.679,0.066,-0.825,-123.962,-356.812,-14.893
-1.702,0.471,-0.073,-135.132,-381.897,-7.690
-1.586,0.822,0.773,-139.709,-395.813,-8.301
-1.398,1.087,1.769,-129.944,-398.193,-17.883
-1.129,1.116,2.634,-109.802,-384.155,-35.645
-0.906,0.871,3.167,-97.839,-354.187,-55.481
-0.788,0.540,3.362,-105.164,-316.711,-68.604
-0.767,0.134,3.081,-120.605,-277.588,-74.463
-0.846,-0.304,2.555,-129.028,-244.507,-74.097
-0.913,-0.647,2.154,-126.038,-225.586,-67.932
-0.929,-0.964,2.021,-114.624,-217.346,-57.129
-0.832,-1.101,2.316,-100.952,-216.309,-40.894
-0.666,-1.085,2.876,-82.581,-212.463,-21.729
-0.454,-0.927,3.488,-63.843,-199.707,-2.686
-0.248,-0.722,3.927,-47.546,-175.049,15.198
-0.115,-0.459,4.000,-35.400,-142.273,31.250
-0.060,-0.186,4.000,-24.719,-105.286,42.847
-0.063,0.051,3.776,-14.038,-68.542,49.011
-0.102,0.173,3.289,-4.456,-35.522,50.781
-0.196,0.251,2.732,-2.441,-10.742,50.964
-0.276,0.335,2.194,-3.235,5.066,50.842
-0.329,0.414,1.810,2.808,12.573,48.096
-0.356,0.391,1.577,10.193,13.855,43.152
-0.365,0.368,1.551,9.460,10.864,39.307
-0.347,0.405,1.524,1.831,9.033,37.720

-0.367,1.303,1.137,-26.672,95.764,-2.319
-0.475,1.382,1.090,-31.921,104.126,-12.512
-0.615,1.508,0.918,-33.936,113.281,-24.231
-0.754,1.587,0.624,-26.489,121.033,-40.466
-0.834,1.612,0.378,-12.939,123.718,-59.631
-0.881,1.669,0.255,-3.662,120.789,-78.918
-0.939,1.669,0.127,0.793,116.272,-98.572
-1.000,1.483,-0.166,7.935,112.305,-120.667
-1.027,1.219,-0.412,16.724,102.844,-141.602
-1.039,0.949,-0.487,23.499,87.341,-158.813
-1.017,0.659,-0.562,27.588,71.045,-172.302
-1.000,0.381,-0.618,25.635,54.077,-181.702
-0.959,0.156,-0.550,20.081,34.729,-187.805
-0.903,-0.085,-0.468,18.982,16.418,-192.871
-0.857,-0.289,-0.341,22.583,0.610,-196.167
-0.787,-0.435,-0.251,23.682,-12.573,-196.838
-0.720,-0.627,-0.236,20.203,-23.804,-195.923
-0.669,-0.853,-0.218,13.489,-35.583,-193.176
-0.562,-1.064,-0.268,9.155,-46.692,-188.538
-0.475,-1.320,-0.363,13.672,-57.617,-182.739
-0.420,-1.588,-0.406,26.733,-70.190,-176.025
-0.397,-1.820,-0.402,34.973,-83.557,-165.161
-0.369,-1.956,-0.464,30.212,-96.863,-147.888
-0.331,-1.962,-0.479,16.235,-112.305,-126.953
-0.299,-1.992,-0.433,2.563,-129.211,-106.384
-0.253,-2.049,-0.281,-9.888,-146.973,-86.548
-0.215,-2.004,-0.063,-21.790,-162.903,-64.697
-0.171,-1.809,0.135,-29.541,-174.744,-42.847
-0.128,-1.546,0.317,-34.607,-183.350,-23.865
-0.088,-1.298,0.500,-36.133,-189.636,-9.460
-0.041,-1.176,0.771,-32.837,-194.458,-0.732
-0.013,-1.173,1.149,-28.809,-196.655,5.310
0.025,-1.204,1.418,-28.687,-193.115,12.634
0.025,-1.221,1.551,-35.278,-184.448,22.339
0.007,-1.158,1.543,-49.133,-174.988,35.645
-0.041,-1.070,1.424,-60.852,-165.649,49.316
-0.090,-0.988,1.276,-68.665,-159.485,61.829
-0.161,-0.947,1.212,-72.449,-157.410,73.364
-0.227,-0.971,1.274,-72.266,-158.020,84.229
-0.278,-0.964,1.532,-67.932,-160.889,96.008
-0.311,-0.900,1.919,-61.707,-161.621,109.497
-0.319,-0.797,2.362,-54.199,-158.386,123.108
-0.319,-0.651,2.836,-45.166,-149.841,135.864
-0.310,-0.489,3.318,-34.119,-135.437,147.461
-0.284,-0.271,3.757,-23.804,-115.845,158.142
-0.263,0.000,4.000,-17.761,-91.187,167.664
-0.239,0.306,4.000,-20.508,-61.829,176.208
-0.262,0.655,4.000,-31.616,-28.748,182.678
-0.312,0.998,4.000,-45.166,6.348,184.753
-0.375,1.229,4.000,-50.903,41.443,180.786
-0.465,1.331,3.882,-46.509,73.486,171.509
-0.550,1.357,3.528,-33.447,100.586,159.851
-0.619,1.374,3.197,-19.714,122.131,149.109
-0.665,1.423,2.937,-9.094,138.977,140.076
-0.685,1.559,2.780,-1.160,152.588,131.897
-0.694,1.784,2.665,7.507,165.100,123.230
-0.693,2.069,2.621,15.625,177.490,112.061
-0.697,2.311,2.592,17.700,189.575,96.863
-0.714,2.443,2.519,12.085,202.026,77.942
-0.756,2.420,2.353,-1.526,214.600,55.786
-0.818,2.271,2.019,-12.878,226.624,32.166
-0.878,2.044,1.639,-13.733,235.229,8.423
-0.907,1.807,1.365,-7.751,237.427,-12.817
-0.909,1.527,1.113,0.366,236.084,-31.921
-0.878,1.172,0.833,10.193,233.398,-47.913
-0.825,0.845,0.710,19.714,226.257,-58.594
-0.754,0.613,0.762,25.269,216.675,-63.477
-0.689,0.482,0.812,30.151,210.266,-64.758
-0.645,0.435,0.815,33.203,207.581,-64.331
-0.611,0.430,0.761,34.241,206.726,-64.026
-0.615,0.421,0.606,35.217,207.520,-64.758
-0.613,0.364,0.297,36.682,208.740,-67.078
-0.616,0.259,-0.025,38.452,206.299,-70.496
-0.612,0.105,-0.320,39.917,199.646,-73.730
-0.574,-0.103,-0.652,41.077,190.002,-75.806
-0.532,-0.352,-0.926,40.405,176.270,-75.806
-0.481,-0.538,-1.122,30.273,158.630,-70.984
-0.449,-0.632,-1.287,10.010,138.428,-61.279
-0.441,-0.601,-1.478,-16.602,117.554,-49.255
-0.428,-0.518,-1.663,-41.443,95.215,-38.879
-0.424,-0.408,-1.780,-53.162,70.374,-32.959
-0.411,-0.277,-1.819,-51.758,43.701,-30.823
-0.407,-0.183,-1.761,-40.833,17.639,-32.104
-0.401,-0.128,-1.609,-32.715,-7.385,-34.912
-0.398,-0.111,-1.443,-30.823,-29.968,-37.842
-0.396,-0.179,-1.329,-34.058,-49.377,-40.100
-0.390,-0.269,-1.163,-42.480,-68.298,-39.978
-0.382,-0.318,-0.958,-55.908,-85.815,-37.170
-0.376,-0.393,-0.882,-67.017,-98.511,-32.898
-0.357,-0.411,-0.860,-69.702,-109.253,-27.954
-0.338,-0.371,-0.817,-57.678,-119.446,-24.109
-0.318,-0.298,-0.747,-36.011,-128.235,-22.461
-0.314,-0.210,-0.649,-11.536,-135.437,-23.315
-0.311,-0.169,-0.619,7.263,-141.296,-25.696
-0.335,-0.224,-0.670,13.367,-146.057,-28.015
-0.398,-0.292,-0.712,10.071,-153.381,-28.015
-0.469,-0.361,-0.774,3.906,-162.720,-26.245
-0.553,-0.484,-0.922,-0.244,-172.729,-23.926
-0.658,-0.571,-1.022,-1.526,-186.462,-20.081
-0.748,-0.614,-1.043,-0.549,-204.590,-15.076
-0.837,-0.602,-0.896,2.441,-226.257,-9.766
-0.913,-0.533,-0.586,4.456,-248.291,-5.188
-0.945,-0.432,-0.186,0.732,-268.005,-1.282
-0.961,-0.332,0.277,-4.211,-283.508,1.282
-0.986,-0.264,0.720,-7.751,-293.091,2.319
-1.025,-0.275,1.122,-13.794,-298.523,2.625
-1.061,-0.341,1.636,-21.362,-302.002,3.540
-1.087,-0.512,2.155,-21.790,-299.988,5.188
-1.114,-0.625,2.680,-18.860,-292.969,10.315
-1.095,-0.555,3.163,-22.522,-281.494,21.240
-1.037,-0.352,3.590,-29.358,-265.564,33.936
-0.940,-0.062,3.999,-34.851,-246.765,44.434
-0.786,0.182,4.000,-38.635,-223.145,51.086
-0.622,0.360,4.000,-43.762,-192.810,54.077
-0.482,0.516,4.000,-52.490,-158.875,54.932
-0.378,0.615,4.000,-57.251,-124.146,53.406
-0.334,0.620,3.997,-52.795,-91.248,48.950
-0.338,0.583,3.609,-43.335,-62.744,43.152
-0.359,0.479,3.106,-33.813,-39.551,38.025

-0.421,0.318,2.269,-26.733,-14.465,34.424
-0.416,0.380,2.012,-30.029,-10.437,35.400
-0.414,0.418,1.823,-28.503,-9.460,34.973
-0.385,0.440,1.742,-26.245,-9.888,32.471
-0.355,0.409,1.720,-25.574,-9.705,29.236
-0.341,0.392,1.684,-28.015,-7.446,26.917
-0.330,0.391,1.582,-26.672,-3.418,24.658
-0.338,0.369,1.465,-20.325,0.549,21.606
-0.358,0.345,1.360,-14.832,3.479,18.860
-0.385,0.366,1.270,-13.000,5.310,16.968
-0.401,0.385,1.145,-11.536,6.592,14.893
-0.407,0.349,1.031,-7.874,6.714,11.292
-0.399,0.288,0.991,-4.089,4.578,7.996
-0.371,0.234,1.016,-0.183,1.892,5.249
-0.347,0.203,1.065,2.563,0.122,3.967
-0.329,0.196,1.116,3.479,-0.488,3.540
-0.314,0.209,1.159,2.380,-0.183,3.418
-0.312,0.232,1.205,0.732,1.099,3.113
-0.317,0.249,1.214,-0.671,3.296,2.319
-0.326,0.218,1.164,-3.540,6.226,0.916
-0.338,0.144,1.099,-5.798,8.850,-0.305
-0.326,0.352,1.074,-5.859,10.071,-1.099
-0.426,0.459,1.080,-3.540,10.010,-5.432
-0.370,-0.026,0.991,1.099,11.902,-7.385
-0.384,0.008,0.899,-4.333,9.583,-3.906
-0.376,0.041,0.886,-4.700,7.080,-1.221
-0.345,0.024,0.983,0.244,4.333,-0.244
-0.327,0.078,1.090,6.165,3.540,0.122
-0.313,0.109,1.140,4.456,4.883,1.587
-0.305,0.110,1.135,2.747,7.263,2.686
-0.307,0.162,1.088,2.319,10.315,3.418
-0.324,0.200,1.022,1.099,12.878,3.296
-0.340,0.214,0.971,-2.686,13.794,2.686
-0.353,0.230,0.917,-4.150,13.733,1.282
-0.360,0.249,0.874,-3.052,13.123,-0.366
-0.354,0.234,0.849,-2.930,11.963,-1.587
-0.358,0.232,0.844,-4.578,10.193,-3.052
-0.359,0.213,0.837,-5.554,8.789,-4.761
-0.341,0.144,0.831,-3.845,7.263,-6.897
-0.330,0.051,0.852,-1.892,5.554,-8.423
-0.325,-0.020,0.882,-0.061,4.578,-7.751
-0.325,-0.031,0.891,2.441,4.395,-5.249
-0.326,0.007,0.908,2.258,4.089,-2.319
-0.323,0.063,0.930,2.380,3.601,-0.854
-0.315,0.127,0.954,4.395,3.479,-0.122
-0.317,0.182,0.975,5.127,3.479,-0.183
-0.314,0.215,0.965,3.357,4.028,-0.793
-0.317,0.206,0.961,2.869,4.272,-1.709
-0.307,0.143,0.959,2.502,4.089,-3.479
-0.300,0.078,0.976,2.136,4.028,-4.700
-0.294,0.040,0.981,2.686,4.456,-4.333
-0.291,0.013,0.955,3.113,5.066,-3.296
-0.301,0.018,0.919,2.563,5.676,-1.709
-0.310,0.069,0.885,0.854,5.371,0.061
-0.311,0.107,0.853,0.916,4.456,0.977
-0.318,0.113,0.871,2.197,2.991,0.732
-0.319,0.128,0.898,1.709,1.831,0.793
-0.313,0.123,0.902,1.282,1.282,0.610
-0.307,0.112,0.940,2.258,0.549,0.610
-0.300,0.103,0.979,2.441,0.305,0.916
-0.305,0.112,1.001,2.197,0.977,1.587
-0.314,0.153,0.996,1.770,2.075,2.258
-0.327,0.190,0.938,2.808,3.174,2.319
-0.336,0.191,0.888,5.371,3.479,1.282
-0.332,0.198,0.897,6.104,2.441,0.427
