aX,aY,aZ,gX,gY,gZ
-0.319,2.113,-0.247,-140.076,-8.301,-130.554
-0.540,2.408,-0.014,-148.682,-15.686,-165.710
-0.843,2.750,0.175,-157.837,-20.325,-208.130
-1.270,3.165,0.322,-167.236,-22.339,-257.690
-1.820,3.496,0.361,-166.992,-22.339,-318.420
-2.570,3.631,0.366,-156.921,-22.156,-389.648
-3.467,3.482,0.301,-152.832,-24.170,-465.149
-4.000,3.036,0.226,-151.428,-30.212,-539.917
-4.000,2.505,0.120,-168.579,-41.931,-606.262
-4.000,1.916,0.013,-207.153,-63.538,-659.058
-4.000,1.321,0.214,-263.245,-101.929,-697.815
-4.000,0.739,0.825,-317.261,-153.381,-725.159
-4.000,0.180,1.866,-346.924,-205.750,-745.850
-4.000,-0.568,3.273,-328.735,-240.540,-764.771
-4.000,-1.386,4.000,-273.499,-237.305,-779.663
-4.000,-2.050,4.000,-210.937,-195.984,-787.231
-4.000,-3.217,4.000,-134.216,-127.075,-792.908
-4.000,-4.000,3.826,-81.177,-47.485,-778.259
-4.000,-4.000,2.465,-75.562,15.930,-723.877
-4.000,-4.000,1.386,-96.069,47.424,-632.690
-3.485,-4.000,0.906,-103.271,51.514,-529.907
-2.822,-4.000,0.831,-101.440,45.044,-433.838
-2.479,-4.000,0.823,-111.450,40.833,-349.731
-2.259,-4.000,0.711,-112.427,40.527,-284.485
-2.115,-3.961,0.442,-92.163,42.297,-235.229
-2.037,-3.645,0.106,-73.364,41.382,-187.256
-1.940,-3.203,-0.146,-61.890,34.241,-140.991
-1.910,-2.816,-0.238,-51.392,22.095,-101.440
-1.870,-2.518,-0.226,-39.063,8.179,-68.726
-1.820,-2.305,-0.157,-27.893,-4.272,-40.222
-1.769,-2.124,-0.063,-19.775,-15.381,-14.893
-1.712,-1.938,0.040,-13.977,-24.414,8.423
-1.651,-1.752,0.165,-9.827,-31.128,29.663
-1.605,-1.562,0.320,-5.615,-35.034,48.462
-1.595,-1.337,0.407,-0.427,-35.217,64.880
-1.556,-1.067,0.452,3.906,-32.959,78.369
-1.518,-0.860,0.496,8.850,-30.273,87.158
-1.483,-0.698,0.507,8.118,-26.062,93.689
-1.413,-0.588,0.506,4.211,-21.667,98.145
-1.368,-0.531,0.534,0.854,-17.212,100.891
-1.296,-0.468,0.558,-1.160,-11.902,103.088
-1.269,-0.367,0.544,-4.211,-5.615,105.042
-1.220,-0.250,0.488,-6.042,0.183,105.652
-1.185,-0.188,0.464,-6.042,4.822,104.614
-1.151,-0.166,0.459,-6.531,8.545,102.295
-1.110,-0.107,0.434,-10.376,12.329,100.891
-1.080,-0.034,0.403,-12.573,16.479,98.938
-1.056,0.034,0.343,-12.390,19.958,95.337
-1.034,0.090,0.281,-11.414,22.461,90.210
-1.024,0.113,0.253,-7.935,23.682,83.923
-1.013,0.128,0.224,-5.005,24.231,77.087
-1.009,0.150,0.176,-4.395,24.414,70.679
-1.002,0.160,0.109,-4.761,23.865,63.843

-1.155,-1.170,0.410,1.404,21.118,62.744
-1.198,-1.153,0.392,-0.183,23.193,72.144
-1.232,-1.155,0.367,1.221,25.330,79.956
-1.245,-1.267,0.365,6.897,26.489,85.571
-1.260,-1.497,0.389,14.709,26.917,90.942
-1.280,-1.743,0.401,19.958,27.405,99.670
-1.292,-1.919,0.398,21.423,28.076,113.159
-1.329,-2.044,0.392,23.926,28.503,129.333
-1.343,-2.107,0.381,26.367,28.381,147.461
-1.350,-2.161,0.373,28.687,27.893,166.138
-1.342,-2.238,0.377,32.410,26.733,184.937
-1.368,-2.374,0.401,36.499,24.963,203.979
-1.416,-2.519,0.407,38.513,23.743,224.792
-1.436,-2.552,0.422,39.185,22.583,247.925
-1.492,-2.489,0.452,42.175,21.484,272.034
-1.565,-2.372,0.487,47.485,20.813,295.166
-1.648,-2.284,0.518,51.636,20.142,315.918
-1.692,-2.185,0.577,53.406,19.714,334.900
-1.811,-2.043,0.652,60.059,20.569,352.234
-1.909,-1.720,0.650,62.927,22.888,368.896
-1.879,-1.338,0.606,69.702,25.940,380.737
-1.825,-1.009,0.606,83.130,27.222,385.193
-1.732,-0.729,0.605,95.154,27.832,383.972
-1.613,-0.534,0.585,103.516,29.175,378.601
-1.480,-0.420,0.537,111.389,30.884,369.995
-1.275,-0.374,0.439,118.347,32.288,359.802
-1.253,-0.314,0.425,125.854,32.654,349.182
-1.132,-0.244,0.323,138.062,33.508,338.257
-0.989,-0.143,0.250,147.339,32.349,327.454
-0.886,-0.046,0.194,154.419,29.968,316.040
-0.744,0.041,0.153,162.903,27.100,303.528
-0.605,0.106,0.181,172.302,23.132,290.100
-0.546,0.099,0.248,184.448,19.958,276.306
-0.557,0.121,0.313,190.918,18.311,264.771
-0.518,0.183,0.289,195.312,19.287,255.798
-0.473,0.262,0.223,201.050,20.142,248.291
-0.451,0.385,0.166,202.332,19.104,242.126
-0.443,0.531,0.147,200.623,16.235,234.558
-0.389,0.691,0.152,195.007,12.695,225.647
-0.362,0.814,0.176,188.171,9.766,215.088
-0.368,0.958,0.206,178.894,8.362,203.064
-0.317,1.098,0.198,171.570,8.057,188.416
-0.345,1.237,0.212,165.527,8.301,172.302
-0.273,1.439,0.143,156.128,9.033,155.334
-0.210,1.784,0.119,144.409,8.667,137.207
-0.233,2.334,0.127,136.475,8.240,114.258
-0.255,3.155,0.162,127.808,8.545,82.031
-0.273,4.000,0.163,109.253,11.292,35.217
-0.398,4.000,0.169,101.563,16.052,-33.630
-0.750,4.000,0.198,92.773,21.179,-125.305
-1.311,4.000,0.189,83.557,28.931,-234.619
-2.159,4.000,0.173,71.594,37.720,-349.182
-3.047,4.000,0.067,58.655,47.485,-454.041
-3.882,3.019,-0.065,27.527,54.321,-535.461
-4.000,1.751,-0.207,-19.775,54.016,-594.971
-4.000,0.587,-0.189,-95.703,41.626,-632.324
-4.000,-0.540,-0.094,-185.730,14.771,-650.879
-4.000,-1.304,0.314,-269.226,-21.606,-652.893
-4.000,-2.405,0.867,-303.711,-59.082,-649.597
-4.000,-3.788,1.508,-282.410,-80.261,-635.986
-3.593,-4.000,1.700,-211.914,-74.463,-600.220
-2.702,-4.000,1.383,-133.728,-49.072,-543.274
-2.113,-4.000,0.835,-78.247,-22.644,-470.398
-1.805,-4.000,0.335,-71.838,-7.568,-391.479
-1.573,-3.998,0.119,-95.276,-7.568,-324.280
-1.399,-3.620,0.289,-114.563,-16.541,-278.503
-1.138,-3.614,0.617,-103.088,-21.667,-250.427
-1.007,-3.921,0.810,-59.265,-15.137,-230.408
-0.965,-3.985,0.658,-14.648,0.610,-204.834
-0.896,-4.000,0.326,6.042,15.442,-169.739
-0.891,-3.787,0.275,2.930,20.996,-130.127
-0.875,-3.492,0.497,-5.554,21.790,-95.093
-0.820,-3.424,0.815,-8.118,25.024,-66.467
-0.758,-3.591,1.060,-1.892,33.875,-41.687
-0.740,-3.826,1.159,3.052,48.645,-14.038
-0.721,-3.977,1.198,0.549,65.186,18.982
-0.779,-4.000,1.173,-0.916,82.153,55.115
-0.877,-4.000,1.003,1.160,100.159,93.445
-0.980,-4.000,0.813,19.897,115.540,130.493
-1.140,-4.000,0.757,52.368,125.244,166.077
-1.385,-4.000,0.742,80.872,131.897,205.505
-1.693,-4.000,0.694,92.590,137.146,252.502
-2.067,-4.000,0.621,89.355,141.357,308.289
-2.459,-4.000,0.628,79.468,143.250,368.042
-2.902,-3.770,0.655,72.632,145.874,423.035
-3.208,-2.876,0.620,82.947,150.208,464.661
-3.474,-2.092,0.639,113.098,152.893,488.770
-3.536,-1.446,0.586,152.466,154.358,498.779
-3.624,-0.923,0.465,191.833,153.076,500.366
-3.508,-0.365,0.220,215.698,146.912,498.657
-3.316,0.151,-0.010,216.187,134.949,494.324
-3.039,0.576,-0.148,207.642,118.225,482.361
-2.796,0.907,-0.141,189.331,98.938,464.172
-2.545,1.127,-0.190,175.720,83.008,439.697
-2.171,1.336,-0.260,163.574,69.458,412.415
-1.795,1.471,-0.236,151.794,55.725,383.545
-1.541,1.516,-0.126,142.029,43.762,353.821
-1.297,1.569,0.017,124.146,36.072,325.623
-1.065,1.667,0.071,103.394,34.058,298.157
-0.823,1.739,0.067,92.773,36.316,270.264
-0.672,1.800,0.065,75.134,39.001,244.751
-0.603,1.932,0.002,45.593,42.297,221.558
-0.480,2.121,-0.151,22.095,47.363,195.618
-0.374,2.333,-0.326,-0.244,50.415,166.321
-0.308,2.576,-0.495,-18.555,50.598,132.690
-0.284,2.786,-0.643,-30.334,48.340,92.651
-0.278,2.986,-0.790,-44.250,43.335,47.180
-0.297,3.114,-0.891,-61.584,34.424,-2.380
-0.409,3.149,-0.887,-78.003,22.278,-55.603
-0.618,3.072,-0.859,-89.539,9.399,-112.183
-0.849,2.977,-0.812,-97.351,-2.869,-168.457
-1.125,2.928,-0.729,-101.074,-15.381,-223.206
-1.492,2.990,-0.636,-105.042,-28.381,-276.245
-1.963,3.102,-0.471,-114.868,-42.114,-329.590
-2.568,3.086,-0.254,-128.418,-55.908,-384.399
-3.216,2.917,-0.075,-148.865,-68.604,-441.345
-3.919,2.625,0.139,-173.523,-82.214,-496.277
-4.000,2.280,0.336,-199.341,-97.900,-546.326
-4.000,1.915,0.563,-226.318,-115.540,-590.027

-4.000,1.435,1.340,-302.124,-160.217,-652.100
-4.000,1.260,1.925,-321.167,-184.387,-681.152
-4.000,0.938,2.762,-288.696,-200.806,-721.069
-4.000,0.220,3.783,-210.144,-196.960,-772.095
-4.000,-0.801,4.000,-140.503,-158.813,-820.923
-4.000,-2.214,4.000,-106.079,-91.919,-851.501
-4.000,-3.964,3.740,-107.605,-21.912,-848.267
-4.000,-4.000,2.848,-90.759,33.752,-806.091
-4.000,-4.000,1.865,-70.679,77.209,-721.863
-3.980,-4.000,1.040,-63.721,101.807,-609.131
-3.174,-4.000,0.559,-76.477,107.422,-487.610
-2.560,-4.000,0.322,-90.088,102.722,-375.366
-2.170,-4.000,0.114,-86.487,95.947,-280.762
-1.929,-4.000,-0.143,-76.416,88.989,-199.707
-1.810,-4.000,-0.467,-66.772,79.895,-126.160
-1.787,-4.000,-0.731,-54.199,65.552,-60.181
-1.831,-3.410,-0.861,-43.579,46.326,-4.089
-1.888,-2.610,-0.854,-36.194,24.170,39.612
-1.928,-1.839,-0.740,-34.119,2.197,73.303
-1.934,-1.121,-0.544,-35.889,-17.822,95.825
-1.885,-0.542,-0.299,-35.522,-34.241,106.506
-1.778,-0.120,-0.088,-28.015,-44.312,106.567
-1.672,0.138,0.085,-14.954,-48.950,98.511
-1.541,0.250,0.210,-4.761,-49.866,86.182
-1.415,0.211,0.305,1.709,-48.035,72.449
-1.311,0.056,0.391,3.113,-44.800,59.631
-1.197,-0.062,0.425,2.380,-40.222,50.232
-1.107,-0.160,0.473,0.854,-35.095,44.067
-1.040,-0.232,0.519,-0.793,-29.175,39.917
-0.998,-0.284,0.536,-2.014,-22.217,37.231
-0.967,-0.322,0.505,-4.822,-14.282,35.706
-0.952,-0.368,0.457,-6.836,-7.080,34.424
-0.947,-0.396,0.412,-7.751,-1.404,33.875
-0.943,-0.386,0.357,-9.705,3.235,34.546
-0.937,-0.332,0.289,-13.184,7.019,35.706
-0.942,-0.273,0.240,-14.038,9.827,35.645
-0.947,-0.220,0.195,-14.160,11.780,35.034
-0.950,-0.161,0.131,-13.550,13.000,33.325
-0.950,-0.125,0.071,-10.620,13.123,30.334
-0.955,-0.142,0.041,-6.470,11.841,26.428
-0.946,-0.161,0.025,-3.479,9.766,22.766
-0.935,-0.217,0.022,-0.549,7.751,19.348
-0.839,-0.445,0.097,1.831,5.493,17.395
-0.922,-0.431,0.181,4.700,3.357,18.494
-0.887,-0.323,0.213,3.052,3.662,20.630
-0.918,-0.331,0.213,2.991,4.883,19.958
-0.923,-0.267,0.166,4.578,6.531,18.921
-0.947,-0.173,0.112,3.784,7.263,18.372
-0.964,-0.080,0.069,3.662,7.507,16.174
-0.965,-0.058,0.048,4.272,6.592,12.024
-0.957,-0.091,0.059,4.761,5.493,7.263
-0.937,-0.164,0.101,4.089,4.272,2.808
-0.926,-0.251,0.146,3.662,3.784,-0.366
-0.907,-0.316,0.168,2.625,4.395,-1.770
-0.902,-0.387,0.164,4.700,5.737,-2.686
-0.895,-0.444,0.146,5.676,7.019,-2.625
-0.894,-0.500,0.142,5.188,7.874,-1.709
-0.887,-0.559,0.142,4.761,8.362,-0.244
-0.886,-0.559,0.153,2.869,8.606,3.113
-0.893,-0.499,0.151,0.977,9.155,6.470
-0.899,-0.458,0.129,1.099,10.071,8.667
-0.909,-0.430,0.096,0.610,10.620,10.132
-0.914,-0.400,0.069,0.854,10.498,10.986
-0.920,-0.341,0.048,0.366,9.766,11.658
-0.920,-0.280,0.011,-1.404,9.155,11.841
-0.927,-0.254,-0.021,-1.282,7.568,10.315
-0.941,-0.231,-0.034,-0.183,5.310,8.484
-0.942,-0.196,-0.028,-0.366,2.930,6.409
-0.933,-0.187,0.006,-0.244,0.671,3.601
-0.918,-0.223,0.062,1.343,-1.343,0.366
-0.914,-0.286,0.121,4.333,-2.197,-2.319
-0.908,-0.337,0.145,5.554,-2.075,-4.272
-0.902,-0.360,0.134,3.967,-1.343,-4.578
-0.893,-0.382,0.118,1.953,-0.977,-4.578
-0.889,-0.414,0.136,1.648,-1.099,-4.944
-0.890,-0.470,0.175,2.747,-1.221,-5.005
-0.905,-0.542,0.214,3.357,-0.488,-4.333
-0.910,-0.569,0.216,1.770,0.793,-2.380
-0.925,-0.519,0.158,-0.244,2.563,0.610
-0.950,-0.411,0.085,-2.747,3.540,3.784
-0.967,-0.351,0.052,-2.563,2.869,4.211
-0.971,-0.381,0.069,-0.366,1.343,2.747
-0.961,-0.463,0.108,1.221,-0.427,1.343
-0.953,-0.531,0.152,2.075,-1.465,1.343
-0.954,-0.550,0.176,2.991,-1.343,3.235
-0.960,-0.489,0.161,1.648,-0.427,6.287
