aX,aY,aZ,gX,gY,gZ
-0.101,-0.022,-0.155,-4.211,-137.573,-31.433
-0.114,-0.005,-0.142,-22.705,-148.376,-30.518
-0.137,0.039,-0.137,-33.997,-158.813,-30.334
-0.175,0.025,-0.060,-40.161,-170.532,-32.410
-0.189,-0.049,0.106,-41.260,-182.434,-36.133
-0.172,-0.125,0.331,-39.795,-193.237,-39.124
-0.135,-0.193,0.546,-38.330,-201.111,-40.955
-0.114,-0.287,0.782,-37.170,-206.665,-41.809
-0.116,-0.402,1.041,-40.710,-210.632,-40.100
-0.136,-0.512,1.316,-48.157,-212.891,-36.255
-0.146,-0.514,1.628,-56.335,-214.050,-29.785
-0.117,-0.364,1.960,-63.049,-212.830,-22.705
-0.034,-0.154,2.268,-62.988,-207.764,-18.738
0.025,-0.030,2.589,-54.504,-199.097,-20.142
0.051,-0.032,2.860,-44.250,-186.218,-24.963
0.060,-0.117,3.049,-36.926,-170.654,-30.396
0.106,-0.248,3.242,-33.203,-154.663,-34.485
0.166,-0.411,3.407,-33.142,-137.634,-36.194
0.173,-0.580,3.518,-33.325,-118.530,-35.217
0.165,-0.651,3.552,-31.494,-97.473,-31.006
0.143,-0.601,3.521,-26.733,-75.684,-25.024

0.048,-0.657,3.394,-7.019,-35.461,-17.456
0.021,-0.712,3.414,6.409,-18.127,-14.221
0.001,-0.751,3.499,22.034,-1.526,-10.071
0.000,-0.805,3.658,37.781,16.113,-5.493
-0.024,-0.885,3.813,50.964,36.560,-0.122
-0.080,-0.954,3.873,58.105,60.059,7.568
-0.148,-0.937,3.921,61.523,84.045,17.639
-0.247,-0.876,3.915,63.354,108.704,28.015
-0.379,-0.797,3.887,63.538,133.179,37.598
-0.509,-0.663,3.696,60.547,158.264,46.387
-0.632,-0.594,3.458,57.678,182.312,53.284
-0.751,-0.598,3.354,54.199,201.721,58.838
-0.875,-0.588,3.201,46.997,220.520,65.308
-0.996,-0.549,2.967,38.757,239.258,72.205
-1.130,-0.529,2.759,32.043,255.493,77.820
-1.282,-0.484,2.449,26.245,271.118,82.581
-1.383,-0.484,1.917,23.804,285.950,85.693
-1.445,-0.583,1.531,27.527,293.152,87.952
-1.503,-0.622,1.347,29.968,293.579,92.651
-1.513,-0.542,1.065,31.006,295.166,99.304
-1.516,-0.407,0.769,37.048,296.265,105.469
-1.482,-0.252,0.611,46.021,292.297,109.436
-1.425,-0.108,0.565,56.030,286.560,111.877
-1.359,0.088,0.578,60.425,281.677,113.586
-1.325,0.302,0.533,57.739,279.114,113.098
-1.301,0.431,0.315,53.101,278.931,108.337
-1.296,0.447,-0.100,53.040,278.320,98.877
-1.247,0.316,-0.671,62.805,274.414,86.792
